

#mb 22:05:27:10:11:16 (start time)
#id 347252 (device id)
#ta 7221 (tia amplification, tia input channel, signal range, dsp mode)
#1t 2f [3vi_ma 4vi_mi 5mag 6pha 7vv_ma 8vv_mi 9cor][10vi_ma 11vi_mi 12mag 13pha 14vv_ma 15vv_mi 16cor][17t_pcb 18t_ther][19,20,21mag][22,23,24acc][25,26,27ext(t,light,hum)][28dv1 29dv2 30rf 31tr 32sp 33pr 34sm 35st 36lght 37empt 38empt 39empt 40empt 41empt 42empt 43empt 44empt 45empt]
22:05:27:10:11:17 4496 1097 -646 1294105875 898528 9873 -9695 -138 1221 -703 1192697500 897835 9841 -9723 -226 249061 0 178 -179 1253 0 0 0 228932 -79361 -77700 510210 502016 19888 0 0 101525 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:18 4595 1126 -675 1284638250 897793 9871 -9707 -218 1192 -707 1223274250 898024 9837 -9720 -203 249146 0 177 -182 1262 0 0 0 229178 -87601 -87338 510202 501963 19880 9 0 101527 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:20 4699 1134 -700 1287762125 897754 9862 -9702 -222 1236 -710 1202106375 898041 9843 -9730 -208 249231 0 178 -182 1247 0 0 0 229276 -87790 -87530 510203 502014 19884 13 0 101525 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:21 4807 1222 -717 1264015125 897871 9859 -9716 -223 1253 -710 1201652875 897956 9843 -9728 -220 249313 0 176 -177 1256 0 0 0 229469 -87832 -87565 510203 501956 19883 10 0 101524 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:23 4901 1209 -723 1250589125 898074 9859 -9737 -200 1228 -742 1199895125 897646 9847 -9718 -247 249388 0 176 -176 1263 0 0 0 229710 -87850 -87568 510209 502015 19886 12 0 101526 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:24 5000 1187 -744 1260872875 898238 9858 -9736 -180 1240 -739 1202478250 897525 9863 -9728 -263 249465 0 178 -182 1256 0 0 0 229704 -87830 -87579 510195 501977 19877 13 0 101524 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:26 5102 1202 -734 1243472375 897868 9853 -9737 -221 1245 -755 1202645750 898114 9871 -9725 -201 249538 0 176 -175 1258 0 0 0 229789 -87881 -87616 510206 502008 19870 13 0 101526 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:27 5208 1203 -729 1221793375 897868 9854 -9729 -221 1222 -753 1213951250 898100 9858 -9726 -198 249614 0 179 -177 1258 0 0 0 229657 -87852 -87611 510201 502040 19877 14 0 101525 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:29 5296 1202 -712 1234190250 898192 9855 -9722 -187 1223 -731 1205628500 897479 9854 -9710 -264 249683 0 178 -179 1271 0 0 0 229321 -87870 -87614 510202 501997 19878 11 0 101524 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:30 5411 1211 -728 1213888250 898065 9841 -9732 -201 1188 -725 1222768375 897529 9840 -9713 -251 249751 0 176 -176 1258 0 0 0 229191 -87876 -87635 510195 502009 19887 15 0 101526 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:31 5506 1230 -734 1222145125 897699 9817 -9734 -243 1161 -751 1239788250 897096 9821 -9719 -286 249817 0 174 -176 1261 0 0 0 229376 -87880 -87637 510206 501981 19876 14 0 101525 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:33 5605 1227 -736 1218758375 897806 9813 -9741 -231 1147 -735 1246846375 897116 9827 -9719 -281 249881 0 177 -180 1256 0 0 0 229513 -87894 -87621 510203 501950 19884 11 0 101524 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:34 5707 1176 -743 1241232875 897745 9807 -9735 -226 1117 -739 1267838250 897508 9816 -9706 -239 249947 0 175 -181 1262 0 0 0 229482 -87880 -87639 510199 502022 19884 12 0 101528 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:35 5787 1203 -715 1211340125 897856 9811 -9737 -220 1111 -718 1277549750 897522 9813 -9720 -236 250015 0 176 -179 1256 0 0 0 229369 -87901 -87654 510205 501969 19889 13 0 101527 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:37 5896 1212 -721 1209805375 897970 9801 -9752 -209 1089 -707 1285980625 897310 9797 -9716 -249 250076 0 180 -184 1266 0 0 0 229147 -87909 -87662 510202 501955 19877 11 0 101526 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:10:11:38 6009 1251 -730 1202537375 898154 9803 -9753 -195 1088 -710 1298281250 897532 9791 -9711 -228 250136 0 178 -178 1257 0 0 0 228938 -87914 -87650 510197 502063 19888 11 0 101528 0 0 0 0 0 0 0 0 0 0 0 0
