22:05:27:12:10:56,6613,1193,-741,1216868000,897079,9782,-9756,-293,1250,-723,1147921750,897043,9804,-9782,-310,279790,0,0,-556,470,0,0,0,251518,-86872,-86750,510429,523252,19995,14,0,101504,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:10:57,6684,1213,-750,1203664625,897281,9783,-9755,-277,1187,-709,1191454250,896451,9785,-9778,-348,279817,0,1,-559,465,0,0,0,251788,-86848,-86727,510542,523413,19931,11,0,101507,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:10:59,6793,1174,-747,1221435250,896838,9771,-9764,-310,1276,-706,1164544500,896898,9795,-9798,-322,279849,0,3,-564,467,0,0,0,252030,-86883,-86730,510381,523713,19926,11,0,101507,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:00,6906,1200,-765,1201518750,896859,9772,-9776,-316,1260,-707,1164559375,897113,9792,-9784,-300,279879,0,7,-558,463,0,0,0,252134,-86934,-86745,510334,524108,19931,12,0,101506,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:01,6983,1174,-741,1201919750,896968,9769,-9783,-301,1238,-727,1176097000,896843,9782,-9786,-324,279910,0,0,-557,470,0,0,0,252078,-86900,-86771,510230,524381,19925,17,0,101506,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:02,7102,1126,-744,1233400750,896516,9769,-9759,-328,1194,-711,1191413125,896476,9775,-9770,-349,279936,0,5,-562,467,0,0,0,252076,-86885,-86726,510220,524644,19927,10,0,101506,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:04,7183,1149,-771,1230140750,896660,9770,-9757,-322,1215,-718,1190273000,896676,9774,-9760,-336,279965,0,4,-563,464,0,0,0,252164,-86883,-86749,510242,524930,19922,12,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:05,7309,1149,-752,1218003500,895589,9766,-9754,-428,1206,-739,1173926125,896568,9775,-9749,-347,279997,0,3,-557,467,0,0,0,252357,-86924,-86757,510225,525222,19946,13,0,101504,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:06,7396,1173,-770,1207584125,895688,9764,-9740,-427,1235,-706,1163967125,896662,9788,-9738,-347,280025,0,6,-559,460,0,0,0,252568,-86890,-86733,510193,525496,19931,11,0,101506,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:07,7485,1178,-755,1207325625,895893,9770,-9740,-409,1206,-705,1174610375,897102,9780,-9733,-297,280057,0,3,-559,460,0,0,0,252737,-86921,-86772,510179,525753,19937,10,0,101506,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:09,7621,1205,-741,1209712000,895943,9771,-9739,-414,1270,-730,1142167125,896903,9783,-9753,-337,280083,0,7,-559,464,0,0,0,252854,-86909,-86748,510222,526038,19936,9,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:10,7716,1154,-727,1209465000,896451,9776,-9743,-352,1219,-735,1158960250,896047,9785,-9744,-404,280113,0,8,-555,461,0,0,0,252978,-86898,-86751,510247,526293,20036,13,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:11,7812,1153,-738,1205284500,896532,9784,-9732,-343,1254,-725,1147248375,896592,9792,-9747,-356,280142,0,7,-561,460,0,0,0,253038,-86933,-86787,510329,526545,20039,15,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:12,7911,1114,-759,1217099000,896612,9775,-9737,-324,1212,-700,1164958375,896636,9782,-9749,-342,280170,0,4,-556,463,0,0,0,253152,-86947,-86794,510293,526777,19973,12,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:13,8012,1134,-762,1190680000,896439,9781,-9741,-346,1214,-710,1164344000,896634,9794,-9732,-345,280200,0,-1,-560,464,0,0,0,253346,-86957,-86793,510282,526979,19950,11,0,101504,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:15,8116,1131,-750,1196047375,896288,9779,-9735,-359,1235,-739,1139572000,896421,9807,-9743,-376,280227,0,4,-558,460,0,0,0,253545,-86952,-86803,510240,527167,19993,11,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:16,8223,1118,-761,1183772250,896515,9783,-9740,-334,1264,-746,1126278375,896636,9807,-9742,-361,280257,0,11,-555,460,0,0,0,253736,-86954,-86785,510192,527330,19977,11,0,101505,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:17,8278,1080,-774,1212824000,895793,9779,-9737,-383,1285,-719,1114824375,896656,9808,-9741,-365,280290,0,10,-555,457,0,0,0,253710,-86972,-86808,510181,527484,19931,13,0,101504,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:18,8389,1104,-754,1214566750,895812,9781,-9732,-391,1264,-764,1128891250,896692,9817,-9739,-356,280320,0,5,-556,464,0,0,0,253852,-86983,-86808,510262,527694,19971,12,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:19,8503,1117,-744,1200044125,896006,9797,-9743,-378,1217,-751,1147718250,896966,9800,-9739,-317,280354,0,10,-555,461,0,0,0,253936,-86949,-86811,510410,527893,19993,13,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:20,8620,1097,-737,1204326125,896351,9791,-9737,-341,1193,-745,1167791375,896531,9792,-9734,-352,280385,0,7,-563,468,0,0,0,254003,-86962,-86807,510281,528044,20022,12,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:22,8680,1097,-709,1238630500,896305,9780,-9726,-345,1201,-721,1172927250,896262,9790,-9739,-383,280416,0,12,-558,462,0,0,0,254076,-86990,-86823,510192,528189,19993,12,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
22:05:27:12:11:23,8802,1085,-709,1236325000,896397,9783,-9729,-333,1227,-712,1151514500,896607,9795,-9743,-353,280446,0,7,-556,461,0,0,0,254058,-87002,-86821,510192,528365,20015,12,0,101503,0,0,0,0,0,0,0,0,0,0,0,0
