

#mb 22:05:27:11:47:07 (start time)
#id 347252 (device id)
#ta 7221 (tia amplification, tia input channel, signal range, dsp mode)
#1t 2f [3vi_ma 4vi_mi 5mag 6pha 7vv_ma 8vv_mi 9cor][10vi_ma 11vi_mi 12mag 13pha 14vv_ma 15vv_mi 16cor][17t_pcb 18t_ther][19,20,21mag][22,23,24acc][25,26,27ext(t,light,hum)][28dv1 29dv2 30rf 31tr 32sp 33pr 34sm 35st 36lght 37empt 38empt 39empt 40empt 41empt 42empt 43empt 44empt 45empt]
22:05:27:11:47:08 4496 1393 -736 1141092500 898436 9856 -9816 -187 1235 -678 1224720625 897444 9841 -9719 -271 291551 0 203 -128 491 0 0 0 266277 -81175 -80928 510136 510152 19975 5 0 101516 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:09 4595 1357 -745 1146193125 898072 9859 -9783 -222 1238 -685 1224333000 897519 9850 -9717 -263 291604 0 196 -130 492 0 0 0 266355 -86143 -85960 510137 510150 19969 9 0 101515 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:11 4699 1282 -742 1185619500 898328 9859 -9760 -186 1274 -685 1199321625 897361 9851 -9718 -289 291654 0 200 -126 492 0 0 0 266515 -86161 -86046 510138 510152 19955 10 0 101515 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:12 4807 1281 -766 1173690625 897584 9874 -9750 -268 1232 -675 1223702000 897849 9863 -9709 -232 291705 0 200 -131 495 0 0 0 266765 -86184 -86068 510137 510154 19968 10 0 101514 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:14 4901 1283 -772 1173658250 897871 9870 -9727 -235 1251 -681 1216685125 898159 9866 -9713 -200 291756 0 202 -131 492 0 0 0 266971 -86234 -86120 510139 510150 19960 12 0 101516 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:15 5000 1273 -754 1182012375 897726 9861 -9725 -249 1272 -704 1192314625 898410 9879 -9719 -174 291808 0 200 -127 493 0 0 0 267153 -86242 -86128 510137 510151 19990 11 0 101515 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:17 5102 1251 -750 1190401000 897825 9870 -9722 -234 1259 -702 1201481875 898534 9871 -9714 -159 291856 0 197 -128 497 0 0 0 267165 -86276 -86141 510137 510152 19988 14 0 101514 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:18 5208 1205 -734 1213336500 897059 9866 -9711 -298 1243 -726 1203083625 897893 9858 -9715 -223 291906 0 199 -132 485 0 0 0 267254 -86260 -86132 510137 510151 20016 13 0 101513 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:19 5296 1199 -743 1215348750 897051 9849 -9705 -298 1249 -731 1202362000 897640 9852 -9715 -252 291954 0 202 -130 491 0 0 0 267380 -86267 -86164 510136 510150 19981 13 0 101512 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:21 5411 1210 -730 1209375750 897198 9845 -9715 -287 1240 -702 1197076625 897627 9843 -9726 -251 292002 0 205 -132 489 0 0 0 267489 -86291 -86169 510138 510153 20004 11 0 101514 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:22 5506 1185 -740 1226422250 897193 9839 -9721 -282 1265 -722 1185203250 897975 9857 -9738 -217 292052 0 199 -129 490 0 0 0 267510 -86283 -86176 510137 510152 19970 12 0 101514 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:24 5605 1199 -727 1216354000 897815 9839 -9725 -221 1283 -727 1186554625 897935 9848 -9737 -225 292104 0 201 -131 488 0 0 0 267591 -86306 -86168 510139 510151 19981 12 0 101513 0 0 0 0 0 0 0 0 0 0 0 0
22:05:27:11:47:25 5707 1181 -737 1203207375 898085 9849 -9724 -192 1236 -755 1192984125 897990 9851 -9736 -212 292150 0 204 -130 491 0 0 0 267694 -86314 -86190 510139 510154 19977 10 0 101513 0 0 0 0 0 0 0 0 0 0 0 0
