19:10:20:19:45:37,4496,7650,-7500,113545216,156675,168016,-170400,-6187854,31883,-31283,26818744,121399,168100,-170366,-26198654,276350,0,-327,-48,-327,-2,-5,1009,236115,0,0,0,0,15598,4208814,218210219210,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615124922911180.000,145642402280821.000,7716296549411.220,138508053328340.000,9926278080.362,3415516745.525,194693742449.2240000000,196460199134.6410000000,26801.226,30181.939,-25326.213,-28013.223,509.112,796.875,31723.154,31723.140,196210.314,233459.652,186660.292,215639.914,569.443,1524.196,251162.442,251162.286
19:10:20:19:45:40,4496,7733,-7450,113477520,174776,167900,-170433,-6192417,31833,-31300,26822960,115362,168100,-170466,-26215404,276346,0,-330,-51,-333,-3,-5,1010,236129,0,0,0,0,15599,4208772,218209219209,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615147789525730.000,145643409527626.000,7716367244767.060,138509085223330.000,9980924141.095,3424851300.486,195210910872.3510000000,196982086802.9750000000,27350.045,30954.663,-25835.695,-28702.884,512.761,801.350,32598.992,32598.978,200724.012,240553.711,190814.515,221813.216,572.167,1528.570,259534.403,259534.237
19:10:20:19:45:42,4496,7766,-7433,113492088,184128,168066,-170466,-6192460,31816,-31266,26820464,114542,168050,-170416,-26201504,276344,0,-329,-50,-329,-2,-4,1009,236061,0,0,0,0,15600,4208778,218211219210,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615170347340060.000,145644386935466.000,7716436986578.320,138510091635537.000,10034975446.117,3434089206.017,195722521453.2580000000,197498366267.1030000000,27892.749,31737.332,-26339.480,-29396.322,516.405,805.812,33489.205,33489.190,205172.190,247770.224,194909.052,228032.067,574.915,1532.949,268090.362,268090.184
19:10:20:19:45:44,4496,7716,-7450,113540584,171878,167833,-170366,-6186376,31866,-31300,26820392,116410,167933,-170466,-26207008,276348,0,-329,-50,-328,-1,-6,1006,235997,0,0,0,0,15597,4208796,218211219212,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615192559792740.000,145645336188131.000,7716505817576.650,138511069822049.000,10089361796.640,3443227630.337,196228692480.1470000000,198009156827.7900000000,28431.011,32529.359,-26837.481,-30097.308,520.022,810.269,34393.870,34393.854,209573.178,255102.526,198943.131,234340.991,577.614,1537.354,276832.319,276832.130
19:10:20:19:45:46,4496,7750,-7416,113508448,180651,168083,-170500,-6192156,31833,-31316,26816968,114339,168016,-170400,-26211910,276347,0,-329,-49,-332,-2,-5,1007,236015,0,0,0,0,15600,4208862,218213219213,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615214315472370.000,145646258454714.000,7716573041373.880,138512021911562.000,10143267675.108,3452300202.933,196729538404.4320000000,198514574069.6620000000,28969.200,33330.660,-27337.503,-30804.697,523.647,814.701,35313.065,35313.048,213974.271,262550.054,202999.273,240726.730,580.338,1541.726,285762.273,285762.072
19:10:20:19:45:49,4496,7800,-7416,113449336,189269,167900,-170416,-6194064,31783,-31266,26816082,107901,167900,-170400,-26210358,276349,0,-329,-50,-326,-2,-5,1009,236026,0,0,0,0,15599,4208832,218215219216,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615235707030110.000,145647155630880.000,7716639382799.710,138512950334997.000,10196948651.553,3461278268.636,197225170201.1890000000,199014729915.0070000000,29504.449,34140.110,-27832.144,-31516.818,527.246,819.130,36246.867,36246.849,218344.474,270099.349,206999.266,247169.691,583.040,1546.127,294882.225,294882.011
19:10:20:19:45:51,4496,7783,-7433,113490880,186789,167850,-170366,-6188100,31866,-31316,26817410,117305,168033,-170466,-26214140,276346,0,-329,-49,-331,-3,-6,1009,236006,0,0,0,0,15602,4208850,218216219217,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615256938862560.000,145648028964498.000,7716705237085.850,138513855540926.000,10252177172.762,3470637550.245,197715695412.2630000000,199509732922.3200000000,30029.741,34957.270,-28317.463,-32234.086,530.849,823.460,37195.354,37195.335,222608.224,277745.333,210902.019,253674.918,585.738,1550.348,304194.174,304193.947
19:10:20:19:45:53,4496,7750,-7433,113494128,178369,167883,-170433,-6192774,31850,-31316,26812192,115272,168100,-170500,-26229972,276347,0,-329,-50,-328,-4,-7,1008,235991,0,0,0,0,15601,4208904,218217219218,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615277877121680.000,145648879051499.000,7716769750492.480,138514739674391.000,10308225042.287,3479973679.031,198201218239.2310000000,199999688229.5630000000,30550.250,35782.521,-28803.031,-32954.884,534.435,827.758,38158.601,38158.581,226821.517,285493.017,214807.963,260223.280,588.394,1554.505,313700.121,313699.880
19:10:20:19:45:56,4496,7783,-7450,113489192,187038,168033,-170450,-6193949,31883,-31300,26815876,116917,167900,-170466,-26210718,276350,0,-327,-50,-329,-2,-5,1010,235932,0,0,0,0,15603,4208826,218220219220,95889,0,0,0,0,0,0,0,0,0,0,0,0,2615298522837340.000,145649708354058.000,7716833580062.290,138515611760946.000,10363799238.375,3489218216.655,198681839726.5040000000,200484697789.3880000000,31066.282,36613.477,-29282.018,-33669.072,538.004,832.044,39136.684,39136.663,230987.757,293313.026,218645.673,266694.335,591.053,1558.672,323402.065,323401.809
19:10:20:19:45:58,4496,7800,-7450,113452640,191914,168116,-170400,-6192174,31800,-31333,26817822,110072,167983,-170450,-26217982,276348,0,-329,-49,-329,-2,-3,1010,235929,0,0,0,0,15599,4208850,218221219221,95888,0,0,0,0,0,0,0,0,0,0,0,0,2615318899800940.000,145650516549928.000,7716896965659.440,138516463138405.000,10420195736.781,3498420367.475,199157657978.3570000000,200964860542.2370000000,31577.308,37451.684,-29752.129,-34387.697,541.557,836.301,40129.680,40129.657,235101.414,301224.811,222391.604,273219.229,593.674,1562.794,333302.006,333301.735
